trial,filters,kernel_size,dense,dropout,epochs,batch_size,mean_precision,mean_recall,mean_f1
1,32,5,32,0.2,10,512,0.07533872717975168,0.8455370026798599,0.13720986556714265
4,32,3,32,0.1,8,256,0.0770686288606357,0.843454957740672,0.13692031189898865
5,32,5,64,0.1,10,1024,0.058466555557164825,0.84143475572047,0.10601339068367029
3,48,2,16,0.3,8,256,0.029753343993198816,0.8717790146361576,0.05598670741293543
2,48,5,16,0.3,5,1024,0.005576148437696228,0.9571428571428571,0.010929599464691261
